,V34,V7,V36,V3
V34,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16
V7,0.0,0.0,0.0,0.0
V36,1.1102230246251565e-16,0.0,0.0,0.0
V3,2.220446049250313e-16,0.0,0.0,0.0
