,megahit_2236144,megahit_2574079,megahit_3415153,megahit_1392913,megahit_1768261,megahit_1210378,megahit_3311515,megahit_2920009,megahit_3096841,megahit_420679
megahit_2236144,0.0,0.0040450850561915,0.008797921022165256,0.009320504859209322,0.008924624973434603,0.013228130488227685,0.03554815314042048,0.01625388990094001,0.022385272156168035,0.028348181299938102
megahit_2574079,0.0040450850561915,0.0,0.018118244838199793,0.0109044573823035,0.01811143448628172,0.017047337448961253,0.03354985613551131,0.017495372706232692,0.03383557797674863,0.039446571150952625
megahit_3415153,0.008797921022165256,0.018118244838199793,0.0,0.017205182783329942,0.007252552563319026,0.015628730002069435,0.03535988527858236,0.012486106812708897,0.0060552762809855665,0.010465284398214925
megahit_1392913,0.009320504859209322,0.0109044573823035,0.017205182783329942,0.0,0.02221668820672673,0.005790492482094622,0.054913824667936706,0.030814195025625435,0.03658971886701545,0.0259275915874444
megahit_1768261,0.008924624973434603,0.01811143448628172,0.007252552563319026,0.02221668820672673,0.0,0.03161770056480462,0.05220369130989999,0.0142606959838385,0.007629938591558916,0.022496533575028232
megahit_1210378,0.013228130488227685,0.017047337448961253,0.015628730002069435,0.005790492482094622,0.03161770056480462,0.0,0.04422760553872407,0.03662658499997984,0.039785162034567834,0.02580157116050108
megahit_3311515,0.03554815314042048,0.03354985613551131,0.03535988527858236,0.054913824667936706,0.05220369130989999,0.04422760553872407,0.0,0.035850825806481246,0.04651870919137624,0.05963493661889552
megahit_2920009,0.01625388990094001,0.017495372706232692,0.012486106812708897,0.030814195025625435,0.0142606959838385,0.03662658499997984,0.035850825806481246,0.0,0.012089745063457169,0.02459309934515308
megahit_3096841,0.022385272156168035,0.03383557797674863,0.0060552762809855665,0.03658971886701545,0.007629938591558916,0.039785162034567834,0.04651870919137624,0.012089745063457169,0.0,0.013292207990519667
megahit_420679,0.028348181299938102,0.039446571150952625,0.010465284398214925,0.0259275915874444,0.022496533575028232,0.02580157116050108,0.05963493661889552,0.02459309934515308,0.013292207990519667,0.0
