megahit_2236144,megahit_2574079,megahit_3415153,megahit_1392913,megahit_1768261,megahit_1210378,megahit_3311515,megahit_2920009,megahit_3096841,megahit_420679
0,0,0,0,0,2,0,0,0,0
0,8,0,2,0,4,0,2,0,0
34,40,38,14,20,22,90,14,26,12
0,0,0,0,0,0,0,0,0,0
54,60,78,22,32,42,300,25,54,26
70,80,86,32,34,61,341,26,50,28
15,24,12,4,6,8,130,8,8,2
0,0,0,0,0,0,0,0,0,0
0,6,0,2,0,2,0,4,2,4
0,0,0,0,0,0,0,0,0,0
2,6,4,0,0,4,2,4,2,2
0,4,0,0,0,2,0,0,0,2
