Parameter Name,Value
File Processed,/u2/sua474/Dataset/Chiquet/Taxa_10/Chiquet_50/Chiquet_52.csv
Block Indexes,[10]
Selection Method:,max
Discard Threshold:,0.1
Is Iterative,False
Start Time,2021-10-06 17:46:23.925935
End Time,2021-10-06 17:46:43.463849
