V10,V5
28,6
14,13
23,12
419,7
4,61
194,77
3476,1298
161,159
17,5
472,64
26,1
1,372
251,47
1,0
2481,21
8,28
1,1
3,231
135,1
9,18
76,35
2122,16
265,286
53,3
28,16
12,13
52,517
1,7
41,52
430,433
