V10,V6,V1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
2,8,0
0,0,0
0,0,0
0,0,0
6,4,0
0,0,0
0,0,0
0,0,2
0,0,0
0,6,0
0,0,0
0,0,1
0,0,0
21,339,915
0,0,0
0,0,0
18,0,1
0,0,6
0,0,0
0,0,0
0,0,256
0,0,0
