V1
0
1
27
4
13
1
1
4
196
2
10
157
1
3
1
61
2
12
39
0
1
1
3
0
1
2
11
3
1
829
1
1
4
0
2
0
4
1
3
3
5
140
2
2
1
85
10
0
15
0
29
1
0
146
0
5
3
2
32
4
1
2563
9
1
8
4
79
0
1
1
32
13
25
0
0
4
1
17
3
6
