,megahit_610033,megahit_1853785,megahit_2013094,megahit_114652,megahit_1317643,megahit_2806780,megahit_275827,megahit_902791,megahit_3296524,megahit_948994,megahit_421846,megahit_374698,megahit_2158663
megahit_610033,0.0,0.09845897744610133,0.03816793893129766,0.06884088058696569,0.0628796819292684,0.0628796819292684,0.0628796819292684,0.0628796819292684,0.11303760503822047,0.061177372954801856,0.0628796819292684,0.0628796819292684,0.061177372954801856
megahit_1853785,0.09845897744610133,0.0,0.0757310525077678,0.19229460056018466,0.14376569164562514,0.14376569164562514,0.17329101262336222,0.17329101262336222,0.10228150501362543,0.17178926935588013,0.17329101262336222,0.17329101262336222,0.17178926935588013
megahit_2013094,0.03816793893129766,0.0757310525077678,0.0,0.10916666922296325,0.0628796819292684,0.0628796819292684,0.0628796819292684,0.0628796819292684,0.0856863417574607,0.061177372954801856,0.0628796819292684,0.0628796819292684,0.061177372954801856
megahit_114652,0.06884088058696569,0.19229460056018466,0.10916666922296325,0.0,0.03204408109087187,0.03204408109087187,0.017756908856050746,0.03918766720828237,0.12181364870226208,0.023129195593439622,0.02490049497346125,0.02490049497346125,0.023129195593439622
megahit_1317643,0.0628796819292684,0.14376569164562514,0.0628796819292684,0.03204408109087187,0.0,0.0,0.021739130434782594,0.01449275362318836,0.09204601725494443,0.009072778205543086,0.007246376811594235,0.007246376811594235,0.009072778205543086
megahit_2806780,0.0628796819292684,0.14376569164562514,0.0628796819292684,0.03204408109087187,0.0,0.0,0.021739130434782594,0.01449275362318836,0.09204601725494443,0.009072778205543086,0.007246376811594235,0.007246376811594235,0.009072778205543086
megahit_275827,0.0628796819292684,0.17329101262336222,0.0628796819292684,0.017756908856050746,0.021739130434782594,0.021739130434782594,0.0,0.02898550724637683,0.10346682206934765,0.009072778205543086,0.01449275362318836,0.01449275362318836,0.009072778205543086
megahit_902791,0.0628796819292684,0.17329101262336222,0.0628796819292684,0.03918766720828237,0.01449275362318836,0.01449275362318836,0.02898550724637683,0.0,0.09204601725494443,0.009072778205543086,0.007246376811594235,0.007246376811594235,0.009072778205543086
megahit_3296524,0.11303760503822047,0.10228150501362543,0.0856863417574607,0.12181364870226208,0.09204601725494443,0.09204601725494443,0.10346682206934765,0.09204601725494443,0.0,0.09611746539517851,0.09204601725494443,0.09204601725494443,0.09611746539517851
megahit_948994,0.061177372954801856,0.17178926935588013,0.061177372954801856,0.023129195593439622,0.009072778205543086,0.009072778205543086,0.009072778205543086,0.009072778205543086,0.09611746539517851,0.0,0.0018132381191368063,0.0018132381191368063,0.0
megahit_421846,0.0628796819292684,0.17329101262336222,0.0628796819292684,0.02490049497346125,0.007246376811594235,0.007246376811594235,0.01449275362318836,0.007246376811594235,0.09204601725494443,0.0018132381191368063,0.0,0.0,0.0018132381191368063
megahit_374698,0.0628796819292684,0.17329101262336222,0.0628796819292684,0.02490049497346125,0.007246376811594235,0.007246376811594235,0.01449275362318836,0.007246376811594235,0.09204601725494443,0.0018132381191368063,0.0,0.0,0.0018132381191368063
megahit_2158663,0.061177372954801856,0.17178926935588013,0.061177372954801856,0.023129195593439622,0.009072778205543086,0.009072778205543086,0.009072778205543086,0.009072778205543086,0.09611746539517851,0.0,0.0018132381191368063,0.0018132381191368063,0.0
