V7,V2,V10,V1,V3
8,7,2,2,4
15,10,11,34,9
6,55,53,945,25
238,268,1862,261,219
1,2,0,30,14
501,488,543,441,497
23,7,12,10,78
405,407,444,423,437
59,54,74,64,137
4,1,0,0,3
2,1,0,11,3
65,72,70,73,79
24,35,29,18,26
37,48,29,40,45
15,16,15,11,6
8,444,60,3,3249
255,696,687,269,275
35,31,33,36,35
5,67,3,2,1
500,498,515,509,490
0,0,0,1,1
309,299,285,303,347
489,516,501,504,511
164,52,55,1158,54
3,6,6,7,17
82,78,85,82,73
503,507,486,483,510
2,5,6,4,6
10,3,3,236,5
291,321,320,291,344
