,megahit_566092,megahit_2133670,megahit_2227915,megahit_3085420,megahit_3050782,megahit_2268436,megahit_2563372,megahit_2637592,megahit_1808341,megahit_1216747,megahit_2944840
megahit_566092,0.0,0.0037490898402996464,0.020531237908468558,0.01717999394601999,0.003796285264498045,0.016210464694529247,0.009756552987284395,0.004172831004468636,0.03344250504725843,0.00741367769700485,0.009970450901381156
megahit_2133670,0.0037490898402996464,0.0,0.015261288098944448,0.023237234382942784,0.00592463607091942,0.01097061667498378,0.010406875705804564,0.006001043864508393,0.045120221389505555,0.012051439484250914,0.007159282849072635
megahit_2227915,0.020531237908468558,0.015261288098944448,0.0,0.019567190822311953,0.026979497522613305,0.02330581890899619,0.032374628062277866,0.02747684740006029,0.07902779889789213,0.02136875165792107,0.019863136996545627
megahit_3085420,0.01717999394601999,0.023237234382942784,0.019567190822311953,0.0,0.024358277677976936,0.026877260005825243,0.017093914570739166,0.01801381276571834,0.07464937424248508,0.008191127236039653,0.01856384594456617
megahit_3050782,0.003796285264498045,0.00592463607091942,0.026979497522613305,0.024358277677976936,0.0,0.009947926887352465,0.007803673663971056,0.0028599880693228608,0.023973346141255236,0.014782991033387649,0.013890310006554607
megahit_2268436,0.016210464694529247,0.01097061667498378,0.02330581890899619,0.026877260005825243,0.009947926887352465,0.0,0.011843938992330938,0.008202736109415465,0.04243899925988637,0.01954424913771524,0.01759876295648466
megahit_2563372,0.009756552987284395,0.010406875705804564,0.032374628062277866,0.017093914570739166,0.007803673663971056,0.011843938992330938,0.0,0.0034207795461534962,0.04804380915345263,0.010702117014859347,0.016438045952523517
megahit_2637592,0.004172831004468636,0.006001043864508393,0.02747684740006029,0.01801381276571834,0.0028599880693228608,0.008202736109415465,0.0034207795461534962,0.0,0.03278407825493723,0.010301345908905635,0.010474981502085479
megahit_1808341,0.03344250504725843,0.045120221389505555,0.07902779889789213,0.07464937424248508,0.023973346141255236,0.04243899925988637,0.04804380915345263,0.03278407825493723,0.0,0.05554056767224658,0.062248011153617555
megahit_1216747,0.00741367769700485,0.012051439484250914,0.02136875165792107,0.008191127236039653,0.014782991033387649,0.01954424913771524,0.010702117014859347,0.010301345908905635,0.05554056767224658,0.0,0.01675175388936989
megahit_2944840,0.009970450901381156,0.007159282849072635,0.019863136996545627,0.01856384594456617,0.013890310006554607,0.01759876295648466,0.016438045952523517,0.010474981502085479,0.062248011153617555,0.01675175388936989,0.0
