,V16,V23,V34,V19
V16,0.0,0.0,0.0,2.220446049250313e-16
V23,0.0,0.0,0.0,2.220446049250313e-16
V34,0.0,0.0,0.0,2.220446049250313e-16
V19,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0
