,V13,V9,V37,V24,V25
V13,0.0,0.35632481814143757,0.48778942500437483,0.42432162190250866,0.0
V9,0.35632481814143757,0.0,0.39883677965029773,0.3881191630971732,0.4436048899498155
V37,0.48778942500437483,0.39883677965029773,0.0,0.0,0.0
V24,0.42432162190250866,0.3881191630971732,0.0,0.0,0.0
V25,0.0,0.4436048899498155,0.0,0.0,0.0
