Parameter Name,Value
File Processed,/u1/cec383/Fusion_Approach_Pipelines/Chiquet_100_Extra/Chiquet_39.csv
Block Indexes,[10]
Selection Method:,max
Discard Threshold:,5.0
Is Iterative,False
Start Time,2021-08-04 21:41:48.445653
End Time,2021-08-04 21:42:06.058686
