,megahit_1200253,megahit_1897738,megahit_610033,megahit_2013094,megahit_1317643,megahit_2806780,megahit_1440202,megahit_1637806,megahit_196573,megahit_1601965,megahit_1823047
megahit_1200253,0.0,0.019386626630882753,0.07413547217835459,0.0668163850018989,0.05157134785342954,0.05157134785342954,0.04561403508771933,0.023047177864059076,0.023047177864059076,0.028416508138033425,0.028416508138033425
megahit_1897738,0.019386626630882753,0.0,0.06554473180390619,0.05082890080869207,0.04653986081046246,0.04653986081046246,0.037023557806586394,0.01786436790250645,0.01786436790250645,0.019671235030071066,0.019671235030071066
megahit_610033,0.07413547217835459,0.06554473180390619,0.0,0.03816793893129766,0.0628796819292684,0.0628796819292684,0.13268816959000018,0.0628796819292684,0.0628796819292684,0.061177372954801856,0.061177372954801856
megahit_2013094,0.0668163850018989,0.05082890080869207,0.03816793893129766,0.0,0.0628796819292684,0.0628796819292684,0.13634771317822802,0.0628796819292684,0.0628796819292684,0.061177372954801856,0.061177372954801856
megahit_1317643,0.05157134785342954,0.04653986081046246,0.0628796819292684,0.0628796819292684,0.0,0.0,0.08900932096447844,0.02898550724637683,0.02898550724637683,0.030851398464761925,0.030851398464761925
megahit_2806780,0.05157134785342954,0.04653986081046246,0.0628796819292684,0.0628796819292684,0.0,0.0,0.08900932096447844,0.02898550724637683,0.02898550724637683,0.030851398464761925,0.030851398464761925
megahit_1440202,0.04561403508771933,0.037023557806586394,0.13268816959000018,0.13634771317822802,0.08900932096447844,0.08900932096447844,0.0,0.046223065980422584,0.046223065980422584,0.0498484969291062,0.0498484969291062
megahit_1637806,0.023047177864059076,0.01786436790250645,0.0628796819292684,0.0628796819292684,0.02898550724637683,0.02898550724637683,0.046223065980422584,0.0,0.0,0.0018132381191368063,0.0018132381191368063
megahit_196573,0.023047177864059076,0.01786436790250645,0.0628796819292684,0.0628796819292684,0.02898550724637683,0.02898550724637683,0.046223065980422584,0.0,0.0,0.0018132381191368063,0.0018132381191368063
megahit_1601965,0.028416508138033425,0.019671235030071066,0.061177372954801856,0.061177372954801856,0.030851398464761925,0.030851398464761925,0.0498484969291062,0.0018132381191368063,0.0018132381191368063,0.0,0.0
megahit_1823047,0.028416508138033425,0.019671235030071066,0.061177372954801856,0.061177372954801856,0.030851398464761925,0.030851398464761925,0.0498484969291062,0.0018132381191368063,0.0018132381191368063,0.0,0.0
