"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
1.24019179585232,0.290043483411068,-0.0140204698939055,0,-0.0295403027332358,0,-0.0798409357393203,0,-0.198070032446764,0,0,-0.070751534581929,0.236265721424281,-0.0237861980239416,0,0,-0.219446619571436,-0.137251542928404,0.0256124787192411,0.0764537309846146,-0.116373876605042,0,0,-0.0609635197698032,0.0316835440182366,0,0.0962534020260612,0,0,0
0.290043483411068,1.29786412455777,-0.113821738482221,0,0,-0.153122260875789,-0.23015848464546,0.137945774557594,0,0,0.141925636113946,0.0656386946296803,0,0.208250737575808,0.0388982277846857,0.087025671296524,-0.0286260506100809,-0.0660392211462723,-0.0872250652464099,0.137996199719454,0,0,0,0.11692230759217,0,0,0,0.0176081499843967,-0.142239766362909,0
-0.0140204698939055,-0.113821738482221,1.19670933081807,0,0,0,0,0.0863853250829514,-0.182097694408185,-0.197951144157652,0,0,0.0780694263995084,0,-0.272375326240056,0,-0.121665596996019,-0.0519407496739089,0,0.0150982440631684,0,-0.0483918813030268,0.034391693053066,0,0.0453976470793261,0,0,0.15523447572524,0,0
0,0,0,1.24840284448208,0.206874487000782,-0.24962191221829,0,0.0965843519574392,0,-0.199537703252003,0,0,-0.0661941903956785,-0.140778014921776,-0.103339042254031,0.291334998442717,0,0,-0.0324928702908636,-0.19266996898693,-0.0369840674111085,0,0,0.0258890185271762,0,0,0,-0.0444536122849778,0,0
-0.0295403027332358,0,0,0.206874487000782,1.2511631525907,0,0,0,0,-0.150230946393604,0,-0.0875370495583272,0,-0.244745807776961,-0.0274312172224527,0,0,0,0,0,0,0,0,0.103170217887804,0,0,-0.283484697998161,0,-0.231030728810805,0.198591587056815
0,-0.153122260875789,0,-0.24962191221829,0,1.51883806247771,0,0,-0.121199540258598,0,-0.080090605536591,0,-0.101358759075469,0,0,-0.294097127988635,-0.261059256831222,-0.138766571917371,-0.0829532640076692,0,-0.142350444915962,-0.117444354603823,-0.259804748786254,-0.0991724795055823,-0.123793200708864,-0.0151645806530972,-0.430705453373195,0,0,-0.0167048133336423
-0.0798409357393203,-0.23015848464546,0,0,0,0,1.16675278344265,0.0125713332481695,-0.299863697150692,0,0,0.0134260625497652,0.0673858625004583,0,0.0034779615261723,0,0,0,0,0,-0.0294714171382198,0.140484782019246,-0.0166200357952474,-0.0106443658588982,0,0,0,-0.00230580408103218,-0.0648992563807403,0
0,0.137945774557594,0.0863853250829514,0.0965843519574392,0,0,0.0125713332481695,1.15462502419135,-0.117938784559147,0,0,0,0,-0.0200412905645189,-0.17537623618881,0,0,-0.0259682679556094,-0.015854597131035,0,0,0,0,-0.0681645472625226,0,0.179670596407171,0,0,-0.236372840272302,-0.0224525387857482
-0.198070032446764,0,-0.182097694408185,0,0,-0.121199540258598,-0.299863697150692,-0.117938784559147,1.65552197389354,-0.198544901340214,-0.138274976851519,-0.0398642255178187,-0.263618215568319,0,0,0,0,-0.170824660906373,-0.173042816751541,-0.0867959264452842,-0.0985705555421183,0,-0.133203572327299,0,0,-0.363604865617691,0,-0.11686886153588,-0.186442553192376,0
0,0,-0.197951144157652,-0.199537703252003,-0.150230946393604,0,0,0,-0.198544901340214,1.27711945002042,0.20304488088463,0,0,-0.0803046085308508,0,0,0,0,0.145885532774628,0,0,0,0,0.0503130439871195,0,-0.0872368426021298,0,-0.261283212257949,-0.0222744115514905,-0.00618198112179299
0,0.141925636113946,0,0,0,-0.080090605536591,0,0,-0.138274976851519,0.20304488088463,1.16627151605574,0,-0.166815430986334,0,0,0,-0.0169950331521165,0.0276408751694585,0,0,0.209397201966214,-0.0219823625159234,0,0,0,-0.042468879189513,0,0,-0.124696946688517,0.0175915898129627
