megahit_1884559,megahit_2440717,megahit_964462,megahit_1155943,megahit_2559955,megahit_2954026,megahit_151489,megahit_2753680,megahit_161602,megahit_3440035
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0
0,4,2,8,10,11,6,6,8,0
0,0,0,0,0,0,0,0,0,0
100,84,56,114,140,95,78,92,96,56
88,81,54,110,144,92,80,91,86,51
0,0,2,4,12,0,2,2,6,0
0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,2,2,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,6,0
16,6,4,6,14,6,14,4,6,4
