Parameter Name,Value
File Processed,/u1/cec383/Fusion_Approach_Pipelines/Dataset/Taxa_50/Chiquet_10/Chiquet_56.csv
Block Indexes,"[10, 20, 30, 40, 50]"
Selection Method:,max
Discard Threshold:,5.0
Is Iterative,False
Start Time,2021-08-19 02:44:02.031961
End Time,2021-08-19 04:37:29.742942
