"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.569301439640326,0,0,0,0,0,0,0,0,0,0,0,0,-0.0551811807806509,-0.228195159399444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101125608314786,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.100721687642453,0,0,0,0,0,0,0,0,0,0,0,0,-0.0239061728668392,0,0,0,0,0,0.66853581571166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.572956441371752,0,0,0,0,0,-0.129259493196893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334017252232859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0433446133282711,0,0.756342243340354,0,0,0,0,0,0,0,-0.000316428754887271,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.572956441371752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294565802581722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0647017805020721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168097441078561,0,0,0,0,0,0,0,-0.110660826678039,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308704927518693,0,0,0,0.274852974776709,0,0,0,0.456117424239235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132266188641786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413824408637641,0,0,0,0,0,-0.137157049356441,0,0,0,-0.0376446333033126,-0.00787417163482748,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00765183348395582,0,-0.0686423763070922,0,0.141139367145676,0,0,0,0,-0.0228957733129751,0.0439685619394299,0.225880254213633,0,0,0.256318519445929,0,0,0,0,0,0,0,0,0,0,-0.0445850331869066,0,0,0,0,-0.114322887631773,0,0,0,0,-0.0452811323517225,0,0,0,0,0.134307285520012,0,0,0,0.06448159592487,0,0,-0.0285573788677306,0,0,0,0,0,0,0,0.361185345890349,0,0,0,0,0,0,0,-0.0125310153345646,0,0,0,0,0.089389288069802,0,0,0,-0.0232212525142803,0,0.146462005265369,0,0,0
0,0,0,0,0,0,0,0,0,0.80701201194758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00834714783065396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0451489260811516,-0.0462304286020812,0,0,0,0,0,0,0,0,0,0,0,0.00425274708527815,0,0,0,0,0,0,0,0.0147372652604372,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.80701201194758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215585864602106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159197425991406,0,0,0,0,0,0,0,0.0174184534361541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.100721687642453,0,-0.129259493196893,0,0,0,0,0,0,0,-0.104417182006033,0,-0.00183358278657206,0,0,0,-0.10263686979738,0,-0.0841742242932975,0,0,-0.118983555064188,0.118367614585642,0,-0.106694948363858,0.0396010140604453,0,0,0,0,-0.0541267593885507,0,0,0,0.114167126637716,0,0,0,0,-0.0730910582334446,0.156460706384191,0.0858728884242999,-0.0884805740440814,0,0,0,0.0281496232201418,0,0,0,-0.0485091884209936,0,0,0,0,0,0,-0.00203911599117049,0,0,0,0.0367376767995626,0,0,-0.00154487301850731,0.044171034998135,0,-0.0527066905989834,0,-0.13779163079883,0.0501862336066138,0,0,0,0,0,0,0,0,0.112019499896313,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163193412942618,0,0,0,0,0.0480072806842381
