V1,V7,V3
138,65,1043
314,318,347
25,30,21
0,1,2
282,836,296
70,25,88
201,32,27
12,10,78
302,2,2285
32,2,7
0,0,2
428,440,425
2,5,6
33,36,29
35,3,29
5,8,4
584,228,591
144,141,336
0,1,1
1,0,11
4,36,3
23,3,0
1,1,1
103,114,95
169,154,150
219,71,224
8,6,8
0,0,0
410,411,443
379,367,1014
