V6,V4
257,2088
28,427
178,6
215,79
18,472
11,12
2,5
13,0
511,28
239,33
2,24
746,2055
28,626
47,121
137,58
580,223
205,11
35,29
35,1
15,3
82,36
409,62
295,2032
13,12
4,15
11,30
106,301
9,5
635,1716
19,13
