V6,V9
117,13
18,0
5,4
12,3
34,6
135,421
3492,504
19,1
12,15
20,218
9,7
3130,1177
206,217
975,24
552,4
255,27
1974,1932
263,1
9,11
6,49
1,0
4,789
145,54
2,0
9,2
1922,102
208,86
166,429
0,578
0,2
