,V12,V26,V38,V47,V34,V8,V40,V22,V42
V12,0.0,0.0,0.03325252165507242,0.0332525216550722,0.03325252165507231,0.03325252165507209,0.033252521655071865,0.0,0.0
V26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42792244645264454,0.26970325665977846
V38,0.03325252165507242,0.0,0.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16,0.0,0.0,0.0
V47,0.0332525216550722,0.0,0.0,0.0,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0
V34,0.03325252165507231,0.0,3.3306690738754696e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0
V8,0.03325252165507209,0.0,3.3306690738754696e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,0.0,0.0
V40,0.033252521655071865,0.0,0.0,0.0,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0
V22,0.0,0.42792244645264454,0.0,0.0,0.0,0.0,0.0,0.0,0.4777670321329064
V42,0.0,0.26970325665977846,0.0,0.0,0.0,0.0,0.0,0.4777670321329064,0.0
