,V24,V30,V9,V37,V20
V24,0.0,0.0,0.0,0.0,0.49110695499240486
V30,0.0,0.0,0.0,0.0,0.0
V9,0.0,0.0,0.0,0.0,0.0
V37,0.0,0.0,0.0,0.0,0.0
V20,0.49110695499240486,0.0,0.0,0.0,0.0
