Parameter Name,Value
File Processed,/u1/cec383/Fusion_Approach_Pipelines/Dataset/Taxa_50/Chiquet_10/Chiquet_50.csv
Block Indexes,"[10, 20, 30, 40, 50]"
Selection Method:,max
Discard Threshold:,5.0
Is Iterative,False
Start Time,2021-08-18 13:23:47.406808
End Time,2021-08-18 16:01:19.835830
