Parameter Name,Value
File Processed,/u2/sua474/Dataset/Chiquet/Taxa_10/Chiquet_10/Chiquet_76.csv
Block Indexes,[10]
Selection Method:,max
Discard Threshold:,0.1
Is Iterative,False
Start Time,2021-10-06 17:13:56.020962
End Time,2021-10-06 17:14:40.481628
