,V3,V34,V46,V50
V3,0.0,0.0005517099491377797,0.0005564521047416449,0.0005744105571545699
V34,0.0005517099491377797,0.0,3.071213583449861e-08,1.7141378969909304e-05
V46,0.0005564521047416449,3.071213583449861e-08,0.0,1.796845099533151e-05
V50,0.0005744105571545699,1.7141378969909304e-05,1.796845099533151e-05,0.0
