Parameter Name,Value
File Processed,/u1/cec383/Fusion_Approach_Pipelines/Dataset/Taxa_50/Chiquet_10/Chiquet_4.csv
Block Indexes,"[10, 20, 30, 40, 50]"
Selection Method:,max
Discard Threshold:,5.0
Is Iterative,False
Start Time,2021-08-15 09:44:16.676944
End Time,2021-08-15 10:52:14.224188
