,megahit_550621,megahit_468697,megahit_929173,megahit_2032840,megahit_420679,megahit_1965103,megahit_1720648,megahit_3358690,megahit_264070,megahit_3000823
megahit_550621,0.0,0.01480324147170431,0.05686090781448938,0.03276336350951281,0.029870455406837748,0.036142057882747824,0.02806794424640502,0.05148927260852487,0.03424039411533708,0.04617428734217255
megahit_468697,0.01480324147170431,0.0,0.027228653570734118,0.011402488583586834,0.019671875654636906,0.011519056009389184,0.011010245073852842,0.02423395593727551,0.011847351935417416,0.01202245505459143
megahit_929173,0.05686090781448938,0.027228653570734118,0.0,0.010495512977926502,0.014717877848673955,0.0073401127601410154,0.010536954293609013,0.0017170581521042116,0.009220399826524006,0.014116239009070997
megahit_2032840,0.03276336350951281,0.011402488583586834,0.010495512977926502,0.0,0.016827196668925848,0.0019711012301251163,0.0014689894927576441,0.006765556294592301,0.004394894322439891,0.006248416200722251
megahit_420679,0.029870455406837748,0.019671875654636906,0.014717877848673955,0.016827196668925848,0.0,0.010860016947283335,0.01184040738117631,0.01250073393429807,0.013637570126780685,0.02156776983297526
megahit_1965103,0.036142057882747824,0.011519056009389184,0.0073401127601410154,0.0019711012301251163,0.010860016947283335,0.0,0.0018383575407014963,0.003832948247160739,0.0032854222854523663,0.004697211307461813
megahit_1720648,0.02806794424640502,0.011010245073852842,0.010536954293609013,0.0014689894927576441,0.01184040738117631,0.0018383575407014963,0.0,0.006708719874117919,0.003409184390971598,0.009750302000284927
megahit_3358690,0.05148927260852487,0.02423395593727551,0.0017170581521042116,0.006765556294592301,0.01250073393429807,0.003832948247160739,0.006708719874117919,0.0,0.005429868119989356,0.010553194703014412
megahit_264070,0.03424039411533708,0.011847351935417416,0.009220399826524006,0.004394894322439891,0.013637570126780685,0.0032854222854523663,0.003409184390971598,0.005429868119989356,0.0,0.0073566297295006855
megahit_3000823,0.04617428734217255,0.01202245505459143,0.014116239009070997,0.006248416200722251,0.02156776983297526,0.004697211307461813,0.009750302000284927,0.010553194703014412,0.0073566297295006855,0.0
