megahit_550621,megahit_468697,megahit_929173,megahit_2032840,megahit_420679,megahit_1965103,megahit_1720648,megahit_3358690,megahit_264070,megahit_3000823
0,0,0,0,0,0,0,0,0,0
6,0,1,2,0,0,0,4,2,8
42,24,34,16,12,22,28,36,12,26
6,0,0,0,0,0,2,0,0,0
106,94,94,60,26,74,92,98,40,116
82,86,124,64,28,82,96,123,43,128
16,8,4,6,2,6,6,6,0,12
2,0,0,0,0,0,0,0,0,0
10,6,4,0,4,2,0,2,0,10
0,0,0,0,0,0,0,0,0,0
8,8,0,0,2,4,0,4,2,14
22,14,8,2,2,2,2,4,2,8
