V1
1
5
0
106
0
453
0
11
0
0
1
2
455
4
131
3
16
8
4
0
29
0
21
0
587
1
1
5
12
1
0
49
0
21
18
0
1
153
0
0
1
0
1
80
327
9
0
1
0
0
0
1
0
13
1
822
6
4
7
9
2
3
24
1
0
0
763
0
1
3
1
151
1
0
5
6
4
0
0
0
0
2243
5
1
1
0
28
26
3
0
214
66
69
0
656
2
2
1
4
8
0
1
0
0
0
783
5
0
13
0
56
0
24
0
0
0
2
0
181
2
