V5,V6
62,18
18,2
0,1
35,23
6,327
28,31
3,4
25,37
2,2
2,30
1142,126
62,4
33,24
4,0
451,154
2,3
3,2
34,2
68,4
3,14
10,2
189,179
1,6
230,209
1657,584
37,26
70,62
3,0
1193,432
365,146
