V19,V44
191,26
0,17
2,4
7,0
3,0
0,696
291,5
0,2
3,0
0,0
0,1
10,1
882,0
1,12
19,2
887,1
2,1
0,0
0,6
0,0
1,5
0,0
2,9
2374,2455
3,384
1,1
914,9
0,4
6,6
5,53
7,2
13,19
1,0
0,6
176,75
13,4
3,25
0,4
2,1071
123,349
11,0
0,1072
1,126
1,965
15,28
8,477
10,0
0,3
462,0
6,51
630,1
1,8
3,1
1,3
2,2
1,11
0,0
0,980
1,2
3,2
0,62
2,138
3,5
0,1
0,1
3,1
0,0
0,0
1,5
0,75
35,210
1,5
2,248
98,12
7,5
19,18
0,0
6,6
11,1
5,1
