V1
1
1
0
3
82
52
40
10
2
5
1
3
0
1
25
12
0
0
0
213
1
184
7
1
48
13
0
0
1
2191
11
8
110
0
1
69
5
22
1
10
97
4
23
0
3
10
0
311
93
0
0
1
12
9
0
0
286
95
39
4
21
1
2
0
6
4
1989
8
1
4
7
2582
6
235
10
4
0
0
16
26
