,V47,V8,V11,V38,V40,V16,V14,V2,V50,V48,V23
V47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3965915949446793,0.0076991550453398006,0.0076991550453398006
V8,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.4999999999999999,0.0,0.4999999999999999
V11,0.0,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.4999999999999999,0.0
V38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0
V40,0.0,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.4999999999999999,0.0
V16,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.4999999999999999,0.0,0.4999999999999999
V14,0.0,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.4999999999999999,0.0
V2,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999
V50,0.3965915949446793,0.4999999999999999,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.4999999999999999
V48,0.0076991550453398006,0.0,0.4999999999999999,0.0,0.4999999999999999,0.0,0.4999999999999999,0.0,0.0,0.0,2.220446049250313e-16
V23,0.0076991550453398006,0.4999999999999999,0.0,0.0,0.0,0.4999999999999999,0.0,0.4999999999999999,0.4999999999999999,2.220446049250313e-16,0.0
