,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
V1,-1,1,-1,1,1,1,1,-1,-1,-1
V2,0,-1,0,0,0,0,0,0,0,0
V3,0,0,-1,0,0,0,0,0,0,0
V4,1,1,1,-1,1,-1,1,-1,-1,-1
V5,1,1,1,-1,-1,-1,1,-1,1,1
V6,1,1,1,1,-1,-1,-1,1,1,1
V7,1,1,1,1,1,-1,-1,-1,-1,-1
V8,0,0,0,0,0,0,0,-1,0,0
V9,-1,1,1,1,1,-1,1,1,-1,1
V10,1,1,1,-1,1,-1,1,1,1,-1
