,V39,V34,V28,V43,V45,V41,V26,V1
V39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
