,V6,V39,V34,V18,V12
V6,0.0,0.0,0.0,0.0,0.0
V39,0.0,0.0,0.0,0.0,0.0
V34,0.0,0.0,0.0,0.0,0.0
V18,0.0,0.0,0.0,0.0,0.0
V12,0.0,0.0,0.0,0.0,0.0
