,V13,V37,V25,V30,V9
V13,0.0,0.4451590224452948,0.0,0.0,0.0
V37,0.4451590224452948,0.0,0.37629444391631817,0.0,0.0
V25,0.0,0.37629444391631817,0.0,0.4876559267812516,0.0
V30,0.0,0.0,0.4876559267812516,0.0,0.0
V9,0.0,0.0,0.0,0.0,0.0
